t	x	u
0.000000	0.000000	0.000000
0.000000	0.100000	0.000083
0.000000	0.200000	0.000667
0.000000	0.300000	0.002250
0.000000	0.400000	0.005333
0.000000	0.500000	0.010417
0.000000	0.600000	0.018000
0.000000	0.700000	0.028583
0.000000	0.800000	0.042667
0.000000	0.900000	0.060750
0.000000	1.000000	0.083333
0.000000	1.100000	0.110917
0.000000	1.200000	0.144000
0.000000	1.300000	0.183083
0.000000	1.400000	0.228667
0.000000	1.500000	0.281250
0.000000	1.600000	0.341333
0.000000	1.700000	0.409417
0.000000	1.800000	0.486000
0.000000	1.900000	0.571583
0.000000	2.000000	0.666667
0.000000	2.100000	0.771750
0.000000	2.200000	0.887333
0.000000	2.300000	1.013917
0.000000	2.400000	1.152000
0.000000	2.500000	1.302083
0.000000	2.600000	1.464667
0.000000	2.700000	1.640250
0.000000	2.800000	1.829333
0.000000	2.900000	2.032417
0.000000	3.000000	2.250000
0.000000	3.100000	2.482583
0.000000	3.200000	2.730667
0.000000	3.300000	2.994750
0.000000	3.400000	3.275333
0.000000	3.500000	3.572917
0.000000	3.600000	3.888000
0.000000	3.700000	4.221083
0.000000	3.800000	4.572667
0.000000	3.900000	4.943250
0.000000	4.000000	5.333333
0.000000	4.100000	5.743417
0.000000	4.200000	6.174000
0.000000	4.300000	6.625583
0.000000	4.400000	7.098667
0.000000	4.500000	7.593750
0.000000	4.600000	8.111333
0.000000	4.700000	8.651917
0.000000	4.800000	9.216000
0.000000	4.900000	9.804083
0.000000	5.000000	10.416667
0.000000	5.100000	11.054250
0.000000	5.200000	11.717333
0.000000	5.300000	12.406417
0.000000	5.400000	13.122000
0.000000	5.500000	13.864583
0.000000	5.600000	14.634667
0.000000	5.700000	15.432750
0.000000	5.800000	16.259333
0.000000	5.900000	17.114917
0.000000	6.000000	18.000000
0.000000	6.100000	18.915083
0.000000	6.200000	19.860667
0.000000	6.300000	20.837250
0.000000	6.400000	21.845333
0.000000	6.500000	22.885417
0.000000	6.600000	23.958000
0.000000	6.700000	25.063583
0.000000	6.800000	26.202667
0.000000	6.900000	27.375750
0.000000	7.000000	28.583333
0.000000	7.100000	29.825917
0.000000	7.200000	31.104000
0.000000	7.300000	32.418083
0.000000	7.400000	33.768667
0.000000	7.500000	35.156250
0.000000	7.600000	36.581333
0.000000	7.700000	38.044417
0.000000	7.800000	39.546000
0.000000	7.900000	41.086583
